ENABLE_QCN			Yes
PACKET_PAYLOAD_SIZE		1000
TOPOLOGY_FILE			mix/1/topology.txt
FLOW_FILE			mix/1/flow.txt
TRACE_FILE			mix/1/trace.txt
TRACE_OUTPUT_FILE		mix/1/mix.tr
FCT_OUTPUT_FILE		mix/1/fct.txt
PFC_OUTPUT_FILE				mix/1/pfc.txt
SIMULATOR_STOP_TIME		4
CC_MODE		13
ALPHA_RESUME_INTERVAL		1
RATE_DECREASE_INTERVAL		4
CLAMP_TARGET_RATE		No
RP_TIMER			900
EWMA_GAIN			0.00390625
FAST_RECOVERY_TIMES		1
RATE_AI				250Mb/s
RATE_HAI			100Mb/s
MIN_RATE		100Mb/s
DCTCP_RATE_AI				1000Mb/s
ERROR_RATE_PER_LINK		0
L2_CHUNK_SIZE			4000
L2_ACK_INTERVAL			1
L2_BACK_TO_ZERO			No
HAS_WIN		1
GLOBAL_T		0
VAR_WIN		1
FAST_REACT		1
U_TARGET		0.95
MI_THRESH		0
INT_MULTI				1
MULTI_RATE				0
SAMPLE_FEEDBACK				0
PINT_LOG_BASE				1.05
PINT_PROB				1
RATE_BOUND		1
ACK_HIGH_PRIO		0
LINK_DOWN				0 0 0
ENABLE_TRACE				1
KMAX_MAP				 25000000000 400 50000000000 800 100000000000 1600
KMIN_MAP				 25000000000 100 50000000000 200 100000000000 400
PMAX_MAP				 25000000000 0.2 50000000000 0.2 100000000000 0.2
BUFFER_SIZE				32
QLEN_MON_FILE				mix/1/qlen.txt
QLEN_MON_START				0
QLEN_MON_END				0
maxRtt=6240 maxBdp=78000
Running Simulation.
14936 9 0
14944 8 0
14952 78000 78000
15020 9 0
15028 8 0
15036 78000 78000
15104 9 0
15112 8 0
15120 78000 78000
15188 9 0
15196 8 0
15204 78000 78000
15272 9 0
15280 8 0
15288 78000 78000
15356 9 0
15364 8 0
15372 78000 78000
15440 9 0
15448 8 0
15456 78000 78000
15524 9 0
15532 8 0
15540 78000 78000
15608 9 0
15616 8 0
15624 78000 78000
15692 9 0
15700 8 0
15708 78000 78000
15776 9 0
15784 8 0
15792 78000 78000
15860 9 0
15868 8 0
15876 78000 78000
15944 9 0
15952 8 0
15960 78000 78000
16028 9 0
16036 8 0
16044 78000 78000
16112 9 0
16120 8 0
16128 78000 78000
16196 9 0
16204 8 0
16212 78000 78000
16280 9 0
16288 8 0
16296 78000 78000
16364 9 0
16372 8 0
16380 78000 78000
16448 9 0
16456 8 0
16464 78000 78000
16532 9 0
16540 8 0
16548 78000 78000
16616 9 0
16624 8 0
16632 78000 78000
16700 9 0
16708 8 0
16716 78000 78000
16784 9 0
16792 8 0
16800 78000 78000
16868 9 0
16876 8 0
16884 78000 78000
16952 9 0
16960 8 0
16968 78000 78000
17036 9 0
17044 8 0
17052 78000 78000
17120 9 0
17128 8 0
17136 78000 78000
17204 9 0
17212 8 0
17220 78000 78000
17288 9 0
17296 8 0
17304 78000 78000
17372 9 0
17380 8 0
17388 78000 78000
17456 9 0
17464 8 0
17472 78000 78000
17540 9 0
17548 8 0
17556 78000 78000
17624 9 0
17632 8 0
17640 78000 78000
17708 9 0
17716 8 0
17724 78000 78000
17792 9 0
17800 8 0
17808 78000 78000
17876 9 0
17884 8 0
17892 78000 78000
17960 9 0
17968 8 0
17976 78000 78000
18044 9 0
18052 8 0
18060 78000 78000
18128 9 0
18136 8 0
18144 78000 78000
18212 9 0
18220 8 0
18228 78000 78000
18296 9 0
18304 8 0
18312 78000 78000
18380 9 0
18388 8 0
18396 78000 78000
18464 9 0
18472 8 0
18480 78000 78000
18548 9 0
18556 8 0
18564 78000 78000
18632 9 0
18640 8 0
18648 78000 78000
18716 9 0
18724 8 0
18732 78000 78000
18800 9 0
18808 8 0
18816 78000 78000
18884 9 0
18892 8 0
18900 78000 78000
18968 9 0
18976 8 0
18984 78000 78000
19052 9 0
19060 8 0
19068 78000 78000
19136 9 0
19144 8 0
19152 78000 78000
19220 9 0
19228 8 0
19236 78000 78000
19304 9 0
19312 8 0
19320 78000 78000
19388 9 0
19396 8 0
19404 78000 78000
19472 9 0
19480 8 0
19488 78000 78000
19556 9 0
19564 8 0
19572 78000 78000
19640 9 0
19648 8 0
19656 78000 78000
19724 9 0
19732 8 0
19740 78000 78000
19808 9 0
19816 8 0
19824 78000 78000
19892 9 0
19900 8 0
19908 78000 78000
19976 9 0
19984 8 0
19992 78000 78000
20060 9 0
20068 8 0
20076 78000 78000
20144 9 0
20152 8 0
20160 78000 78000
20228 9 0
20236 8 0
20244 78000 78000
20312 9 0
20320 8 0
20328 78000 78000
20396 9 0
20404 8 0
20412 78000 78000
20480 9 0
20488 8 0
20496 78000 78000
20564 9 0
20572 8 0
20580 78000 78000
20648 9 0
20656 8 0
20664 78000 78000
20732 9 0
20740 8 0
20748 78000 78000
20816 9 0
20824 8 0
20832 78000 78000
20900 9 0
20908 8 0
20916 78000 78000
20984 9 0
20992 8 0
21000 78000 78000
21068 9 0
21076 8 0
21084 78000 78000
21152 9 0
21160 8 0
21168 78000 78000
21236 9 0
21244 8 0
21252 78000 78000
21320 9 0
21328 8 0
21336 78000 78000
21404 9 0
21412 8 0
21420 78000 78000
21488 9 0
21496 8 0
21504 78000 78000
21572 9 0
21580 8 0
21588 78000 78000
21656 9 0
21664 8 0
21672 78000 78000
21740 9 0
21748 8 0
21756 78000 78000
21824 9 0
21832 8 0
21840 78000 78000
21908 9 0
21916 8 0
21924 78000 78000
21992 9 0
22000 8 0
22008 78000 78000
22076 9 0
22084 8 0
22092 78000 78000
22160 9 0
22168 8 0
22176 78000 78000
22244 9 0
22252 8 0
22260 78000 78000
22328 9 0
22336 8 0
22344 78000 78000
22412 9 0
22420 8 0
22428 78000 78000
22496 9 0
22504 8 0
22512 78000 78000
22580 9 0
22588 8 0
22596 78000 78000
22664 9 0
22672 8 0
22680 78000 78000
22748 9 0
22756 8 0
22764 78000 78000
22832 9 0
22840 8 0
22848 78000 78000
22916 9 0
22924 8 0
22932 78000 78000
23000 9 0
23008 8 0
23016 78000 78000
23084 9 0
23092 8 0
23100 78000 78000
23168 9 0
23176 8 0
23184 78000 78000
23252 9 0
23260 8 0
23268 78000 78000
23336 9 0
23344 8 0
23352 78000 78000
23420 9 0
23428 8 0
23436 78000 78000
23504 9 0
23512 8 0
23520 78000 78000
23588 9 0
23596 8 0
23604 78000 78000
23672 9 0
23680 8 0
23688 78000 78000
23756 9 0
23764 8 0
23772 78000 78000
23840 9 0
23848 8 0
23856 78000 78000
23924 9 0
23932 8 0
23940 78000 78000
24008 9 0
24016 8 0
24024 78000 78000
24092 9 0
24100 8 0
24108 78000 78000
24176 9 0
24184 8 0
24192 78000 78000
24260 9 0
24268 8 0
24276 78000 78000
24344 9 0
24352 8 0
24360 78000 78000
24428 9 0
24436 8 0
24444 78000 78000
24512 9 0
24520 8 0
24528 78000 78000
24596 9 0
24604 8 0
24612 78000 78000
24680 9 0
24688 8 0
24696 78000 78000
24764 9 0
24772 8 0
24780 78000 78000
24848 9 0
24856 8 0
24864 78000 78000
24932 9 0
24940 8 0
24948 78000 78000
25016 9 0
25024 8 0
25032 78000 78000
25100 9 0
25108 8 0
25116 78000 78000
